date,new,old,est
2014-01-01,9587.0,0.0,8292.0
2014-01-02,10626.0,0.0,8292.0
2014-01-03,10187.0,0.0,8292.0
2014-01-04,10094.0,0.0,8292.0
2014-01-05,9762.0,0.0,8292.0
2014-01-06,9241.0,0.0,8292.0
2014-01-07,9290.0,0.0,8292.0
2014-01-08,9076.0,0.0,8292.0
2014-01-09,8731.0,0.0,8292.0
2014-01-10,8856.0,0.0,8292.0
2014-01-11,9525.0,0.0,8292.0
2014-01-12,9554.0,0.0,8292.0
2014-01-13,8989.0,0.0,8292.0
2014-01-14,8823.0,0.0,8292.0
2014-01-15,8866.0,0.0,8292.0
2014-01-16,9181.0,0.0,8292.0
2014-01-17,9345.0,0.0,8292.0
2014-01-18,9700.0,0.0,8292.0
2014-01-19,9963.0,0.0,8292.0
2014-01-20,9916.0,0.0,8292.0
2014-01-21,10134.0,0.0,8292.0
2014-01-22,10282.0,0.0,8292.0
2014-01-23,10476.0,0.0,8292.0
2014-01-24,11195.0,0.0,8292.0
2014-01-25,11086.0,0.0,8292.0
2014-01-26,11603.0,0.0,8292.0
2014-01-27,11814.0,0.0,8292.0
2014-01-28,12230.0,0.0,8292.0
2014-01-29,12102.0,0.0,8292.0
2014-01-30,11855.0,0.0,8292.0
2014-01-31,11390.0,0.0,8292.0
2014-02-01,10822.0,0.0,9214.0
2014-02-02,10411.0,3337.0,9214.0
2014-02-03,10014.0,3936.0,9214.0
2014-02-04,9497.0,4103.0,9214.0
2014-02-05,9542.0,4450.0,9214.0
2014-02-06,9682.0,4665.0,9214.0
2014-02-07,9479.0,5056.0,9214.0
2014-02-08,9649.0,5001.0,9214.0
2014-02-09,9764.0,4816.0,9214.0
2014-02-10,9477.0,4009.0,9214.0
2014-02-11,9218.0,3264.0,9214.0
2014-02-12,9768.0,3017.0,9214.0
2014-02-13,9839.0,2808.0,9214.0
2014-02-14,9886.0,2994.0,9214.0
2014-02-15,9692.0,3078.0,9214.0
2014-02-16,10071.0,3361.0,9214.0
2014-02-17,10342.0,3900.0,9214.0
2014-02-18,9900.0,4307.0,9214.0
2014-02-19,9428.0,4352.0,9214.0
2014-02-20,9564.0,4351.0,9214.0
2014-02-21,9867.0,4592.0,9214.0
2014-02-22,10485.0,4792.0,9214.0
2014-02-23,10899.0,5140.0,9214.0
2014-02-24,10550.0,5263.0,9214.0
2014-02-25,10446.0,5526.0,9214.0
2014-02-26,10317.0,5777.0,9214.0
2014-02-27,10329.0,6032.0,9214.0
2014-02-28,10511.0,6188.0,9214.0
2014-03-01,11938.0,7760.0,8709.0
2014-03-02,11993.0,7238.0,8709.0
2014-03-03,10762.0,6584.0,8709.0
2014-03-04,10683.0,6191.0,8709.0
2014-03-05,10343.0,6030.0,8709.0
2014-03-06,10210.0,5721.0,8709.0
2014-03-07,10353.0,5698.0,8709.0
2014-03-08,10896.0,5844.0,8709.0
2014-03-09,10648.0,6321.0,8709.0
2014-03-10,9980.0,6085.0,8709.0
2014-03-11,9797.0,5725.0,8709.0
2014-03-12,10021.0,5597.0,8709.0
2014-03-13,9434.0,5562.0,8709.0
2014-03-14,9498.0,5101.0,8709.0
