date,new,old,est
2014-01-01,3796.0,0.0,3225.81
2014-01-02,3995.0,0.0,3225.81
2014-01-03,3777.0,0.0,3225.81
2014-01-04,3761.0,0.0,3225.81
2014-01-05,3647.0,0.0,3225.81
2014-01-06,3433.0,0.0,3225.81
2014-01-07,3418.0,0.0,3225.81
2014-01-08,3259.0,0.0,3225.81
2014-01-09,3233.0,0.0,3225.81
2014-01-10,3302.0,0.0,3225.81
2014-01-11,3449.0,0.0,3225.81
2014-01-12,3494.0,0.0,3225.81
2014-01-13,3352.0,0.0,3225.81
2014-01-14,3147.0,0.0,3225.81
2014-01-15,3177.0,0.0,3225.81
2014-01-16,3126.0,0.0,3225.81
2014-01-17,3347.0,0.0,3225.81
2014-01-18,3315.0,0.0,3225.81
2014-01-19,3443.0,0.0,3225.81
2014-01-20,3397.0,0.0,3225.81
2014-01-21,3360.0,0.0,3225.81
2014-01-22,3292.0,0.0,3225.81
2014-01-23,3320.0,0.0,3225.81
2014-01-24,3597.0,0.0,3225.81
2014-01-25,3534.0,0.0,3225.81
2014-01-26,3361.0,0.0,3225.81
2014-01-27,3508.0,0.0,3225.81
2014-01-28,3414.0,0.0,3225.81
2014-01-29,3542.0,0.0,3225.81
2014-01-30,3570.0,0.0,3225.81
2014-01-31,3534.0,0.0,3225.81
2014-02-01,3595.0,0.0,3392.86
2014-02-02,3867.0,2381.0,3392.86
2014-02-03,3743.0,2574.0,3392.86
2014-02-04,3736.0,2863.0,3392.86
2014-02-05,3611.0,2974.0,3392.86
2014-02-06,3733.0,3039.0,3392.86
2014-02-07,3638.0,3210.0,3392.86
2014-02-08,3649.0,3302.0,3392.86
2014-02-09,3664.0,3414.0,3392.86
2014-02-10,3601.0,3220.0,3392.86
2014-02-11,3575.0,2845.0,3392.86
2014-02-12,3521.0,2802.0,3392.86
2014-02-13,3387.0,2939.0,3392.86
2014-02-14,3480.0,3101.0,3392.86
2014-02-15,3350.0,3289.0,3392.86
2014-02-16,3383.0,3450.0,3392.86
2014-02-17,3235.0,3497.0,3392.86
2014-02-18,3033.0,3624.0,3392.86
2014-02-19,2989.0,3334.0,3392.86
2014-02-20,3032.0,3204.0,3392.86
2014-02-21,3173.0,3410.0,3392.86
2014-02-22,3429.0,3294.0,3392.86
2014-02-23,3504.0,3423.0,3392.86
2014-02-24,3230.0,3387.0,3392.86
2014-02-25,3107.0,3421.0,3392.86
2014-02-26,3112.0,3440.0,3392.86
2014-02-27,3066.0,3325.0,3392.86
2014-02-28,3235.0,3274.0,3392.86
2014-03-01,3703.0,3771.0,2903.23
2014-03-02,4010.0,4290.0,2903.23
2014-03-03,3350.0,4089.0,2903.23
2014-03-04,3163.0,3881.0,2903.23
2014-03-05,2957.0,3858.0,2903.23
2014-03-06,2909.0,3743.0,2903.23
2014-03-07,3035.0,3684.0,2903.23
2014-03-08,3361.0,3894.0,2903.23
2014-03-09,3419.0,4186.0,2903.23
2014-03-10,3021.0,4297.0,2903.23
2014-03-11,2934.0,4036.0,2903.23
2014-03-12,2963.0,3939.0,2903.23
2014-03-13,2769.0,3638.0,2903.23
2014-03-14,2839.0,3515.0,2903.23
2014-03-15,3110.0,3614.0,2903.23
2014-03-16,3180.0,3952.0,2903.23
2014-03-17,2915.0,4147.0,2903.23
2014-03-18,2795.0,3936.0,2903.23
2014-03-19,2753.0,3774.0,2903.23
2014-03-20,2667.0,3507.0,2903.23
2014-03-21,2604.0,3546.0,2903.23
2014-03-22,2966.0,3645.0,2903.23
2014-03-23,3053.0,3972.0,2903.23
2014-03-24,2643.0,4096.0,2903.23
2014-03-25,2486.0,3843.0,2903.23
2014-03-26,2616.0,3777.0,2903.23
2014-03-27,2383.0,3716.0,2903.23
2014-03-28,2592.0,3534.0,2903.23
2014-03-29,0.0,3532.0,2903.23
2014-03-30,0.0,3777.0,2903.23
2014-03-31,0.0,3702.0,2903.23
