date,new,old,est
2014-01-01,12827.0,0.0,11697.0
2014-01-02,14221.0,0.0,11697.0
2014-01-03,14560.0,0.0,11697.0
2014-01-04,14020.0,0.0,11697.0
2014-01-05,13706.0,0.0,11697.0
2014-01-06,13266.0,0.0,11697.0
2014-01-07,13681.0,0.0,11697.0
2014-01-08,13084.0,0.0,11697.0
2014-01-09,12965.0,0.0,11697.0
2014-01-10,13268.0,0.0,11697.0
2014-01-11,13278.0,0.0,11697.0
2014-01-12,13802.0,0.0,11697.0
2014-01-13,13380.0,0.0,11697.0
2014-01-14,12626.0,0.0,11697.0
2014-01-15,11830.0,0.0,11697.0
2014-01-16,12191.0,0.0,11697.0
2014-01-17,13101.0,0.0,11697.0
2014-01-18,12964.0,0.0,11697.0
2014-01-19,13659.0,0.0,11697.0
2014-01-20,13295.0,0.0,11697.0
2014-01-21,13246.0,0.0,11697.0
2014-01-22,12952.0,0.0,11697.0
2014-01-23,12829.0,0.0,11697.0
2014-01-24,13077.0,0.0,11697.0
2014-01-25,13464.0,0.0,11697.0
2014-01-26,13609.0,0.0,11697.0
2014-01-27,13637.0,0.0,11697.0
2014-01-28,13941.0,0.0,11697.0
2014-01-29,13913.0,0.0,11697.0
2014-01-30,14477.0,0.0,11697.0
2014-01-31,13598.0,0.0,11697.0
2014-02-01,12695.0,0.0,12782.5
2014-02-02,12172.0,0.0,12782.5
2014-02-03,12097.0,0.0,12782.5
2014-02-04,11935.0,0.0,12782.5
2014-02-05,12052.0,0.0,12782.5
2014-02-06,12441.0,0.0,12782.5
2014-02-07,13125.0,0.0,12782.5
2014-02-08,13011.0,0.0,12782.5
2014-02-09,13580.0,0.0,12782.5
2014-02-10,13830.0,0.0,12782.5
2014-02-11,13409.0,0.0,12782.5
2014-02-12,13460.0,0.0,12782.5
2014-02-13,13089.0,0.0,12782.5
2014-02-14,12891.0,0.0,12782.5
2014-02-15,12601.0,0.0,12782.5
2014-02-16,13259.0,0.0,12782.5
2014-02-17,13976.0,0.0,12782.5
2014-02-18,13139.0,0.0,12782.5
2014-02-19,13103.0,0.0,12782.5
2014-02-20,12646.0,0.0,12782.5
2014-02-21,12223.0,0.0,12782.5
2014-02-22,12185.0,0.0,12782.5
2014-02-23,12716.0,0.0,12782.5
2014-02-24,12882.0,0.0,12782.5
2014-02-25,12722.0,0.0,12782.5
2014-02-26,12492.0,0.0,12782.5
2014-02-27,12339.0,0.0,12782.5
2014-02-28,11839.0,0.0,12782.5
