date,new,old,est
2014-01-01,4069.0,0.0,4865.42
2014-01-02,4568.0,0.0,4865.42
2014-01-03,4241.0,0.0,4865.42
2014-01-04,4237.0,0.0,4865.42
2014-01-05,4159.0,0.0,4865.42
2014-01-06,3980.0,0.0,4865.42
2014-01-07,3836.0,0.0,4865.42
2014-01-08,3609.0,0.0,4865.42
2014-01-09,3546.0,0.0,4865.42
2014-01-10,3621.0,0.0,4865.42
2014-01-11,3832.0,0.0,4865.42
2014-01-12,4004.0,0.0,4865.42
2014-01-13,3829.0,0.0,4865.42
2014-01-14,3640.0,0.0,4865.42
2014-01-15,3637.0,0.0,4865.42
2014-01-16,3806.0,0.0,4865.42
2014-01-17,4139.0,0.0,4865.42
2014-01-18,4170.0,0.0,4865.42
2014-01-19,4267.0,0.0,4865.42
2014-01-20,4429.0,0.0,4865.42
2014-01-21,4240.0,0.0,4865.42
2014-01-22,4276.0,0.0,4865.42
2014-01-23,4502.0,0.0,4865.42
2014-01-24,4690.0,0.0,4865.42
2014-01-25,4704.0,0.0,4865.42
2014-01-26,4740.0,0.0,4865.42
2014-01-27,4881.0,0.0,4865.42
2014-01-28,5160.0,0.0,4865.42
2014-01-29,5412.0,0.0,4865.42
2014-01-30,5315.0,0.0,4865.42
2014-01-31,4782.0,0.0,4865.42
2014-02-01,4453.0,0.0,5395.86
2014-02-02,4578.0,2221.0,5395.86
2014-02-03,4502.0,2519.0,5395.86
2014-02-04,4326.0,2673.0,5395.86
2014-02-05,4453.0,2755.0,5395.86
2014-02-06,4672.0,2819.0,5395.86
2014-02-07,4622.0,3017.0,5395.86
2014-02-08,4488.0,3091.0,5395.86
2014-02-09,4477.0,2853.0,5395.86
2014-02-10,4446.0,2383.0,5395.86
2014-02-11,4405.0,2001.0,5395.86
2014-02-12,4400.0,2051.0,5395.86
2014-02-13,4442.0,2171.0,5395.86
2014-02-14,4527.0,2279.0,5395.86
2014-02-15,4612.0,2487.0,5395.86
2014-02-16,4781.0,2454.0,5395.86
2014-02-17,4614.0,2609.0,5395.86
2014-02-18,4426.0,2584.0,5395.86
2014-02-19,4202.0,2541.0,5395.86
2014-02-20,4096.0,2314.0,5395.86
2014-02-21,4248.0,2359.0,5395.86
2014-02-22,4856.0,2298.0,5395.86
2014-02-23,5135.0,2327.0,5395.86
2014-02-24,4877.0,2527.0,5395.86
2014-02-25,4632.0,2472.0,5395.86
2014-02-26,4553.0,2371.0,5395.86
2014-02-27,4480.0,2170.0,5395.86
2014-02-28,4708.0,2207.0,5395.86
2014-03-01,5434.0,2224.0,4873.68
2014-03-02,5565.0,2342.0,4873.68
2014-03-03,4807.0,2418.0,4873.68
2014-03-04,4812.0,2330.0,4873.68
2014-03-05,4785.0,2085.0,4873.68
2014-03-06,4568.0,1989.0,4873.68
2014-03-07,4593.0,1981.0,4873.68
2014-03-08,5302.0,2251.0,4873.68
2014-03-09,5403.0,2815.0,4873.68
2014-03-10,4899.0,3028.0,4873.68
2014-03-11,4372.0,3092.0,4873.68
2014-03-12,4435.0,2999.0,4873.68
2014-03-13,4268.0,2577.0,4873.68
2014-03-14,4311.0,2326.0,4873.68
2014-03-15,5037.0,2374.0,4873.68
2014-03-16,5064.0,2455.0,4873.68
2014-03-17,4785.0,2790.0,4873.68
2014-03-18,4655.0,2597.0,4873.68
2014-03-19,4467.0,2459.0,4873.68
2014-03-20,4238.0,2341.0,4873.68
2014-03-21,4476.0,2346.0,4873.68
2014-03-22,5119.0,2463.0,4873.68
