date,new,old,est
2014-01-01,5874.0,0.0,6451.61
2014-01-02,6539.0,0.0,6451.61
2014-01-03,6280.0,0.0,6451.61
2014-01-04,6225.0,0.0,6451.61
2014-01-05,6303.0,0.0,6451.61
2014-01-06,5935.0,0.0,6451.61
2014-01-07,5864.0,0.0,6451.61
2014-01-08,5772.0,0.0,6451.61
2014-01-09,5402.0,0.0,6451.61
2014-01-10,5697.0,0.0,6451.61
2014-01-11,6057.0,0.0,6451.61
2014-01-12,6206.0,0.0,6451.61
2014-01-13,5914.0,0.0,6451.61
2014-01-14,6002.0,0.0,6451.61
2014-01-15,5947.0,0.0,6451.61
2014-01-16,6064.0,0.0,6451.61
2014-01-17,6563.0,0.0,6451.61
2014-01-18,6601.0,0.0,6451.61
2014-01-19,7118.0,0.0,6451.61
2014-01-20,7354.0,0.0,6451.61
2014-01-21,7145.0,0.0,6451.61
2014-01-22,7381.0,0.0,6451.61
2014-01-23,7515.0,0.0,6451.61
2014-01-24,8295.0,0.0,6451.61
2014-01-25,8404.0,0.0,6451.61
2014-01-26,8787.0,0.0,6451.61
2014-01-27,8865.0,0.0,6451.61
2014-01-28,9276.0,0.0,6451.61
2014-01-29,9472.0,0.0,6451.61
2014-01-30,9610.0,0.0,6451.61
2014-01-31,8583.0,0.0,6451.61
2014-02-01,8308.0,0.0,7500.0
2014-02-02,7922.0,275.0,7500.0
2014-02-03,7691.0,365.0,7500.0
2014-02-04,7536.0,344.0,7500.0
2014-02-05,7756.0,349.0,7500.0
2014-02-06,7805.0,381.0,7500.0
2014-02-07,7780.0,423.0,7500.0
2014-02-08,7819.0,376.0,7500.0
2014-02-09,7755.0,358.0,7500.0
2014-02-10,8333.0,365.0,7500.0
2014-02-11,8301.0,341.0,7500.0
2014-02-12,8546.0,301.0,7500.0
2014-02-13,8693.0,273.0,7500.0
2014-02-14,8400.0,314.0,7500.0
2014-02-15,8613.0,319.0,7500.0
2014-02-16,8772.0,317.0,7500.0
2014-02-17,9308.0,368.0,7500.0
2014-02-18,8741.0,343.0,7500.0
2014-02-19,8686.0,378.0,7500.0
2014-02-20,8631.0,395.0,7500.0
2014-02-21,8801.0,398.0,7500.0
2014-02-22,9333.0,389.0,7500.0
2014-02-23,9121.0,400.0,7500.0
2014-02-24,9196.0,423.0,7500.0
2014-02-25,9396.0,426.0,7500.0
2014-02-26,8720.0,412.0,7500.0
2014-02-27,8722.0,454.0,7500.0
2014-02-28,8544.0,458.0,7500.0
2014-03-01,10310.0,528.0,7096.77
2014-03-02,10093.0,473.0,7096.77
2014-03-03,9048.0,485.0,7096.77
2014-03-04,8829.0,438.0,7096.77
2014-03-05,8575.0,404.0,7096.77
2014-03-06,8640.0,419.0,7096.77
2014-03-07,8388.0,399.0,7096.77
2014-03-08,9248.0,451.0,7096.77
2014-03-09,8980.0,477.0,7096.77
2014-03-10,8970.0,438.0,7096.77
2014-03-11,8477.0,396.0,7096.77
2014-03-12,8324.0,373.0,7096.77
2014-03-13,8799.0,406.0,7096.77
2014-03-14,8110.0,406.0,7096.77
2014-03-15,8585.0,453.0,7096.77
2014-03-16,8331.0,459.0,7096.77
2014-03-17,8984.0,505.0,7096.77
2014-03-18,8231.0,443.0,7096.77
2014-03-19,8185.0,464.0,7096.77
2014-03-20,7590.0,458.0,7096.77
2014-03-21,7514.0,511.0,7096.77
2014-03-22,8044.0,518.0,7096.77
2014-03-23,7866.0,526.0,7096.77
2014-03-24,7363.0,464.0,7096.77
2014-03-25,6755.0,467.0,7096.77
2014-03-26,7026.0,462.0,7096.77
2014-03-27,6587.0,471.0,7096.77
2014-03-28,6867.0,461.0,7096.77
2014-03-29,0.0,434.0,7096.77
2014-03-30,0.0,480.0,7096.77
2014-03-31,0.0,489.0,7096.77
2014-04-01,0.0,534.0,7666.67
