date,new,old,est
2014-01-01,5398.0,0.0,4663.0
2014-01-02,5660.0,0.0,4663.0
2014-01-03,5593.0,0.0,4663.0
2014-01-04,5661.0,0.0,4663.0
2014-01-05,5495.0,0.0,4663.0
2014-01-06,5295.0,0.0,4663.0
2014-01-07,5127.0,0.0,4663.0
2014-01-08,4969.0,0.0,4663.0
2014-01-09,4840.0,0.0,4663.0
2014-01-10,4847.0,0.0,4663.0
2014-01-11,4950.0,0.0,4663.0
2014-01-12,5214.0,0.0,4663.0
2014-01-13,4936.0,0.0,4663.0
2014-01-14,4811.0,0.0,4663.0
2014-01-15,4747.0,0.0,4663.0
2014-01-16,4848.0,0.0,4663.0
2014-01-17,5033.0,0.0,4663.0
2014-01-18,5142.0,0.0,4663.0
2014-01-19,5050.0,0.0,4663.0
2014-01-20,5267.0,0.0,4663.0
2014-01-21,5097.0,0.0,4663.0
2014-01-22,5094.0,0.0,4663.0
2014-01-23,5435.0,0.0,4663.0
2014-01-24,5236.0,0.0,4663.0
2014-01-25,5469.0,0.0,4663.0
2014-01-26,5321.0,0.0,4663.0
2014-01-27,5367.0,0.0,4663.0
2014-01-28,5444.0,0.0,4663.0
2014-01-29,5548.0,0.0,4663.0
2014-01-30,5423.0,0.0,4663.0
2014-01-31,5204.0,0.0,4663.0
2014-02-01,5231.0,0.0,5421.0
2014-02-02,5294.0,2596.0,5421.0
2014-02-03,5314.0,3045.0,5421.0
2014-02-04,5513.0,3398.0,5421.0
2014-02-05,5456.0,3558.0,5421.0
2014-02-06,5630.0,3646.0,5421.0
2014-02-07,5813.0,3878.0,5421.0
2014-02-08,5610.0,3975.0,5421.0
2014-02-09,5626.0,3827.0,5421.0
2014-02-10,5560.0,3317.0,5421.0
2014-02-11,5262.0,3080.0,5421.0
2014-02-12,5108.0,2972.0,5421.0
2014-02-13,5193.0,3062.0,5421.0
2014-02-14,5208.0,3278.0,5421.0
2014-02-15,5247.0,3475.0,5421.0
2014-02-16,5164.0,3752.0,5421.0
2014-02-17,4920.0,3960.0,5421.0
2014-02-18,4876.0,3982.0,5421.0
2014-02-19,4825.0,3850.0,5421.0
2014-02-20,4505.0,3912.0,5421.0
2014-02-21,4779.0,3881.0,5421.0
2014-02-22,5098.0,3738.0,5421.0
2014-02-23,5429.0,3990.0,5421.0
2014-02-24,5120.0,4055.0,5421.0
2014-02-25,4833.0,3983.0,5421.0
2014-02-26,4771.0,3994.0,5421.0
2014-02-27,4721.0,3786.0,5421.0
2014-02-28,5050.0,3784.0,5421.0
2014-03-01,5668.0,4345.0,5141.0
2014-03-02,6065.0,4619.0,5141.0
2014-03-03,5419.0,4467.0,5141.0
2014-03-04,4970.0,4393.0,5141.0
2014-03-05,4857.0,3985.0,5141.0
2014-03-06,4668.0,3979.0,5141.0
2014-03-07,4945.0,3744.0,5141.0
2014-03-08,5342.0,3878.0,5141.0
2014-03-09,5486.0,4141.0,5141.0
2014-03-10,4912.0,4358.0,5141.0
2014-03-11,4813.0,4184.0,5141.0
2014-03-12,4657.0,3999.0,5141.0
2014-03-13,4516.0,3808.0,5141.0
2014-03-14,4675.0,3683.0,5141.0
2014-03-15,5081.0,3740.0,5141.0
2014-03-16,5215.0,3973.0,5141.0
2014-03-17,4784.0,4402.0,5141.0
2014-03-18,4544.0,4014.0,5141.0
2014-03-19,4471.0,3928.0,5141.0
2014-03-20,4484.0,3684.0,5141.0
2014-03-21,4569.0,3701.0,5141.0
2014-03-22,4802.0,3673.0,5141.0
2014-03-23,4991.0,3862.0,5141.0
2014-03-24,4567.0,3930.0,5141.0
2014-03-25,4386.0,3830.0,5141.0
2014-03-26,4397.0,3633.0,5141.0
2014-03-27,4638.0,3420.0,5141.0
2014-03-28,4617.0,3478.0,5141.0
2014-03-29,0.0,3392.0,5141.0
2014-03-30,0.0,3523.0,5141.0
2014-03-31,0.0,3697.0,5141.0
2014-04-01,0.0,4186.0,5578.0
2014-04-02,0.0,4279.0,5578.0
2014-04-03,0.0,4130.0,5578.0
2014-04-04,0.0,4547.0,5578.0
2014-04-05,0.0,4673.0,5578.0
2014-04-06,0.0,4163.0,5578.0
2014-04-07,0.0,3881.0,5578.0
2014-04-08,0.0,3687.0,5578.0
2014-04-09,0.0,3636.0,5578.0
2014-04-10,0.0,3539.0,5578.0
2014-04-11,0.0,3595.0,5578.0
2014-04-12,0.0,3514.0,5578.0
2014-04-13,0.0,3762.0,5578.0
2014-04-14,0.0,3920.0,5578.0
2014-04-15,0.0,3802.0,5578.0
2014-04-16,0.0,3677.0,5578.0
