date,new,old,est
2014-01-01,3881.0,0.0,2814.0
2014-01-02,4234.0,0.0,2814.0
2014-01-03,3972.0,0.0,2814.0
2014-01-04,3886.0,0.0,2814.0
2014-01-05,3760.0,0.0,2814.0
2014-01-06,3373.0,0.0,2814.0
2014-01-07,3355.0,0.0,2814.0
2014-01-08,3200.0,0.0,2814.0
2014-01-09,2863.0,0.0,2814.0
2014-01-10,2922.0,0.0,2814.0
2014-01-11,2951.0,0.0,2814.0
2014-01-12,3053.0,0.0,2814.0
2014-01-13,2799.0,0.0,2814.0
2014-01-14,2687.0,0.0,2814.0
2014-01-15,2658.0,0.0,2814.0
2014-01-16,2613.0,0.0,2814.0
2014-01-17,2786.0,0.0,2814.0
2014-01-18,2726.0,0.0,2814.0
2014-01-19,2871.0,0.0,2814.0
2014-01-20,2859.0,0.0,2814.0
2014-01-21,2820.0,0.0,2814.0
2014-01-22,2815.0,0.0,2814.0
2014-01-23,2813.0,0.0,2814.0
2014-01-24,2998.0,0.0,2814.0
2014-01-25,3019.0,0.0,2814.0
2014-01-26,2966.0,0.0,2814.0
2014-01-27,3066.0,0.0,2814.0
2014-01-28,3281.0,0.0,2814.0
2014-01-29,3350.0,0.0,2814.0
2014-01-30,3517.0,0.0,2814.0
2014-01-31,3405.0,0.0,2814.0
2014-02-01,3185.0,0.0,3116.0
2014-02-02,3067.0,6009.0,3116.0
2014-02-03,3026.0,7224.0,3116.0
2014-02-04,2928.0,7650.0,3116.0
2014-02-05,2803.0,8400.0,3116.0
2014-02-06,2857.0,8715.0,3116.0
2014-02-07,2746.0,9369.0,3116.0
2014-02-08,2695.0,9703.0,3116.0
2014-02-09,2826.0,9404.0,3116.0
2014-02-10,2683.0,8091.0,3116.0
2014-02-11,2581.0,6847.0,3116.0
2014-02-12,2607.0,6172.0,3116.0
2014-02-13,2631.0,5965.0,3116.0
2014-02-14,2673.0,6340.0,3116.0
2014-02-15,2600.0,6501.0,3116.0
2014-02-16,2649.0,6943.0,3116.0
2014-02-17,2512.0,7689.0,3116.0
2014-02-18,2534.0,7862.0,3116.0
2014-02-19,2331.0,7700.0,3116.0
2014-02-20,2422.0,7821.0,3116.0
2014-02-21,2455.0,7916.0,3116.0
2014-02-22,2506.0,8338.0,3116.0
2014-02-23,2619.0,8400.0,3116.0
2014-02-24,2482.0,8586.0,3116.0
2014-02-25,2444.0,8722.0,3116.0
2014-02-26,2366.0,9158.0,3116.0
2014-02-27,2250.0,8812.0,3116.0
2014-02-28,2392.0,8921.0,3116.0
2014-03-01,2537.0,11005.0,2814.0
2014-03-02,2598.0,10805.0,2814.0
2014-03-03,2333.0,10294.0,2814.0
2014-03-04,2208.0,9955.0,2814.0
2014-03-05,2044.0,9363.0,2814.0
2014-03-06,1982.0,9123.0,2814.0
2014-03-07,2009.0,8755.0,2814.0
2014-03-08,2050.0,8856.0,2814.0
2014-03-09,2119.0,9368.0,2814.0
2014-03-10,1949.0,9168.0,2814.0
2014-03-11,1957.0,8523.0,2814.0
2014-03-12,1845.0,8591.0,2814.0
2014-03-13,1779.0,8093.0,2814.0
2014-03-14,1742.0,8052.0,2814.0
2014-03-15,1793.0,8400.0,2814.0
2014-03-16,1732.0,9298.0,2814.0
2014-03-17,1628.0,9516.0,2814.0
2014-03-18,1613.0,8847.0,2814.0
2014-03-19,1575.0,8682.0,2814.0
2014-03-20,1548.0,8320.0,2814.0
2014-03-21,1601.0,8416.0,2814.0
2014-03-22,1713.0,8739.0,2814.0
2014-03-23,1733.0,9485.0,2814.0
2014-03-24,1539.0,9049.0,2814.0
2014-03-25,1483.0,8373.0,2814.0
2014-03-26,1486.0,8096.0,2814.0
2014-03-27,1453.0,7660.0,2814.0
2014-03-28,1436.0,7993.0,2814.0
2014-03-29,0.0,8342.0,2814.0
2014-03-30,0.0,8590.0,2814.0
2014-03-31,0.0,8336.0,2814.0
2014-04-01,0.0,9433.0,2908.0
2014-04-02,0.0,9282.0,2908.0
2014-04-03,0.0,9127.0,2908.0
2014-04-04,0.0,9718.0,2908.0
2014-04-05,0.0,9560.0,2908.0
2014-04-06,0.0,8004.0,2908.0
2014-04-07,0.0,7331.0,2908.0
2014-04-08,0.0,7161.0,2908.0
2014-04-09,0.0,6823.0,2908.0
2014-04-10,0.0,6931.0,2908.0
2014-04-11,0.0,6845.0,2908.0
2014-04-12,0.0,6940.0,2908.0
2014-04-13,0.0,7422.0,2908.0
2014-04-14,0.0,7305.0,2908.0
2014-04-15,0.0,6828.0,2908.0
2014-04-16,0.0,6598.0,2908.0
2014-04-17,0.0,6871.0,2908.0
2014-04-18,0.0,6869.0,2908.0
2014-04-19,0.0,7006.0,2908.0
2014-04-20,0.0,7508.0,2908.0
2014-04-21,0.0,7239.0,2908.0
2014-04-22,0.0,6734.0,2908.0
2014-04-23,0.0,6437.0,2908.0
2014-04-24,0.0,6229.0,2908.0
2014-04-25,0.0,6038.0,2908.0
2014-04-26,0.0,6033.0,2908.0
2014-04-27,0.0,5985.0,2908.0
2014-04-28,0.0,6437.0,2908.0
2014-04-29,0.0,7338.0,2908.0
2014-04-30,0.0,7890.0,2908.0
2014-05-01,0.0,8920.0,2814.0
2014-05-02,0.0,9734.0,2814.0
2014-05-03,0.0,8439.0,2814.0
2014-05-04,0.0,8001.0,2814.0
2014-05-05,0.0,7670.0,2814.0
2014-05-06,0.0,7007.0,2814.0
2014-05-07,0.0,6694.0,2814.0
2014-05-08,0.0,6719.0,2814.0
2014-05-09,0.0,6378.0,2814.0
2014-05-10,0.0,6379.0,2814.0
2014-05-11,0.0,6460.0,2814.0
2014-05-12,0.0,6344.0,2814.0
2014-05-13,0.0,5744.0,2814.0
2014-05-14,0.0,5627.0,2814.0
2014-05-15,0.0,5697.0,2814.0
2014-05-16,0.0,5584.0,2814.0
2014-05-17,0.0,5853.0,2814.0
2014-05-18,0.0,6242.0,2814.0
2014-05-19,0.0,6180.0,2814.0
2014-05-20,0.0,5746.0,2814.0
2014-05-21,0.0,5594.0,2814.0
2014-05-22,0.0,5368.0,2814.0
2014-05-23,0.0,5271.0,2814.0
2014-05-24,0.0,5225.0,2814.0
2014-05-25,0.0,5543.0,2814.0
2014-05-26,0.0,5587.0,2814.0
2014-05-27,0.0,4875.0,2814.0
2014-05-28,0.0,4842.0,2814.0
2014-05-29,0.0,4730.0,2814.0
2014-05-30,0.0,4884.0,2814.0
2014-05-31,0.0,4911.0,2814.0
2014-06-01,0.0,5645.0,2908.0
2014-06-02,0.0,5758.0,2908.0
2014-06-03,0.0,5125.0,2908.0
2014-06-04,0.0,4887.0,2908.0
2014-06-05,0.0,4782.0,2908.0
2014-06-06,0.0,4862.0,2908.0
2014-06-07,0.0,4878.0,2908.0
2014-06-08,0.0,4657.0,2908.0
2014-06-09,0.0,4598.0,2908.0
2014-06-10,0.0,5023.0,2908.0
2014-06-11,0.0,5175.0,2908.0
2014-06-12,0.0,5156.0,2908.0
2014-06-13,0.0,4723.0,2908.0
2014-06-14,0.0,4464.0,2908.0
2014-06-15,0.0,4449.0,2908.0
2014-06-16,0.0,4440.0,2908.0
2014-06-17,0.0,4269.0,2908.0
2014-06-18,0.0,4089.0,2908.0
2014-06-19,0.0,4109.0,2908.0
2014-06-20,0.0,4009.0,2908.0
2014-06-21,0.0,4157.0,2908.0
2014-06-22,0.0,4259.0,2908.0
2014-06-23,0.0,4189.0,2908.0
2014-06-24,0.0,3968.0,2908.0
2014-06-25,0.0,3909.0,2908.0
2014-06-26,0.0,3681.0,2908.0
2014-06-27,0.0,3716.0,2908.0
2014-06-28,0.0,3719.0,2908.0
2014-06-29,0.0,3798.0,2908.0
2014-06-30,0.0,3914.0,2908.0
2014-07-01,0.0,4230.0,2814.0
2014-07-02,0.0,4199.0,2814.0
2014-07-03,0.0,4003.0,2814.0
2014-07-04,0.0,3996.0,2814.0
2014-07-05,0.0,3859.0,2814.0
2014-07-06,0.0,3812.0,2814.0
2014-07-07,0.0,3890.0,2814.0
2014-07-08,0.0,3778.0,2814.0
2014-07-09,0.0,3734.0,2814.0
2014-07-10,0.0,3620.0,2814.0
2014-07-11,0.0,3714.0,2814.0
2014-07-12,0.0,3701.0,2814.0
2014-07-13,0.0,3609.0,2814.0
2014-07-14,0.0,3577.0,2814.0
2014-07-15,0.0,3629.0,2814.0
2014-07-16,0.0,3507.0,2814.0
2014-07-17,0.0,3551.0,2814.0
2014-07-18,0.0,3365.0,2814.0
2014-07-19,0.0,3436.0,2814.0
2014-07-20,0.0,3405.0,2814.0
2014-07-21,0.0,3439.0,2814.0
2014-07-22,0.0,3386.0,2814.0
2014-07-23,0.0,3334.0,2814.0
2014-07-24,0.0,3265.0,2814.0
2014-07-25,0.0,3187.0,2814.0
2014-07-26,0.0,3134.0,2814.0
2014-07-27,0.0,3198.0,2814.0
2014-07-28,0.0,3173.0,2814.0
2014-07-29,0.0,3114.0,2814.0
2014-07-30,0.0,3118.0,2814.0
2014-07-31,0.0,3129.0,2814.0
2014-08-01,0.0,3425.0,2814.0
2014-08-02,0.0,3449.0,2814.0
2014-08-03,0.0,3318.0,2814.0
2014-08-04,0.0,3287.0,2814.0
2014-08-05,0.0,3244.0,2814.0
2014-08-06,0.0,3100.0,2814.0
2014-08-07,0.0,3029.0,2814.0
2014-08-08,0.0,3062.0,2814.0
2014-08-09,0.0,3097.0,2814.0
2014-08-10,0.0,3262.0,2814.0
2014-08-11,0.0,3346.0,2814.0
2014-08-12,0.0,3255.0,2814.0
2014-08-13,0.0,3392.0,2814.0
2014-08-14,0.0,3438.0,2814.0
2014-08-15,0.0,3288.0,2814.0
2014-08-16,0.0,3567.0,2814.0
2014-08-17,0.0,3605.0,2814.0
2014-08-18,0.0,3781.0,2814.0
2014-08-19,0.0,3862.0,2814.0
2014-08-20,0.0,3803.0,2814.0
2014-08-21,0.0,3888.0,2814.0
2014-08-22,0.0,3945.0,2814.0
2014-08-23,0.0,3971.0,2814.0
2014-08-24,0.0,4014.0,2814.0
2014-08-25,0.0,4272.0,2814.0
2014-08-26,0.0,4281.0,2814.0
2014-08-27,0.0,4268.0,2814.0
2014-08-28,0.0,4412.0,2814.0
2014-08-29,0.0,4345.0,2814.0
2014-08-30,0.0,4337.0,2814.0
2014-08-31,0.0,4582.0,2814.0
2014-09-01,0.0,5111.0,2908.0
2014-09-02,0.0,5789.0,2908.0
2014-09-03,0.0,5692.0,2908.0
2014-09-04,0.0,4871.0,2908.0
2014-09-05,0.0,4639.0,2908.0
2014-09-06,0.0,4756.0,2908.0
